Year,Country name,Ladder score,GDP_weight,GDP,GDP growth,GPC,GPC_change,Log_GPC
2.02E+03,Finland,7.41E+00,1.29E+00,2.35E+11,5.40E-01,4.28E+04,2.10E-01,4.63E+00
2.02E+03,Finland,7.41E+00,1.41E+00,2.41E+11,2.81E+00,4.39E+04,2.52E+00,4.64E+00
2.02E+03,Finland,7.47E+00,1.44E+00,2.49E+11,3.19E+00,4.52E+04,2.95E+00,4.65E+00
2.02E+03,Finland,7.63E+00,1.31E+00,2.52E+11,1.14E+00,4.56E+04,1.01E+00,4.66E+00
2.02E+03,Finland,7.77E+00,1.34E+00,2.55E+11,1.22E+00,4.61E+04,1.11E+00,4.66E+00
2.02E+03,Finland,7.81E+00,1.29E+00,2.49E+11,-2.30E+00,4.50E+04,-2.44E+00,4.65E+00
2.02E+03,Finland,7.84E+00,1.45E+00,2.58E+11,3.47E+00,4.65E+04,3.25E+00,4.67E+00
