Year,Country name,Ladder score,GDP_weight,GDP,GDP growth,GPC,GPC_change,Log_GPC
2019,Austria,7.25E+00,1.38E+00,4.14E+11,1.49E+00,4.67E+04,1.04E+00,4.67E+00
2020,Austria,7.29E+00,1.32E+00,3.87E+11,-6.73E+00,4.33E+04,-7.12E+00,4.64E+00
2021,Austria,7.27E+00,1.49E+00,4.04E+11,4.48E+00,4.51E+04,4.02E+00,4.65E+00
2015,New Zealand,7.29E+00,1.25E+00,1.78E+11,3.74E+00,3.86E+04,1.65E+00,4.59E+00
2016,New Zealand,7.33E+00,1.36E+00,1.85E+11,3.77E+00,3.92E+04,1.46E+00,4.59E+00
2017,New Zealand,7.31E+00,1.41E+00,1.91E+11,3.58E+00,3.98E+04,1.44E+00,4.60E+00
2018,New Zealand,7.32E+00,1.27E+00,1.98E+11,3.36E+00,4.04E+04,1.52E+00,4.61E+00
2019,New Zealand,7.31E+00,1.30E+00,2.02E+11,2.19E+00,4.06E+04,5.79E-01,4.61E+00
2020,New Zealand,7.30E+00,1.24E+00,2.00E+11,-1.25E+00,3.92E+04,-3.41E+00,4.59E+00
2021,New Zealand,7.28E+00,1.40E+00,2.09E+11,4.65E+00,4.08E+04,3.98E+00,4.61E+00
2015,Sweden,7.36E+00,1.33E+00,5.05E+11,4.49E+00,5.15E+04,3.39E+00,4.71E+00
2016,Sweden,7.29E+00,1.45E+00,5.16E+11,2.07E+00,5.20E+04,7.96E-01,4.72E+00
2017,Sweden,7.28E+00,1.49E+00,5.29E+11,2.57E+00,5.26E+04,1.20E+00,4.72E+00
2018,Sweden,7.31E+00,1.36E+00,5.39E+11,1.95E+00,5.30E+04,7.73E-01,4.72E+00
2019,Sweden,7.34E+00,1.39E+00,5.50E+11,1.99E+00,5.35E+04,9.58E-01,4.73E+00
2020,Sweden,7.35E+00,1.32E+00,5.34E+11,-2.94E+00,5.15E+04,-3.64E+00,4.71E+00
2021,Sweden,7.36E+00,1.48E+00,5.59E+11,4.80E+00,5.37E+04,4.17E+00,4.73E+00
2015,Norway,7.52E+00,1.46E+00,3.86E+11,1.97E+00,7.44E+04,9.58E-01,4.87E+00
2016,Norway,7.50E+00,1.58E+00,3.90E+11,1.07E+00,7.45E+04,1.85E-01,4.87E+00
2017,Norway,7.54E+00,1.62E+00,3.99E+11,2.32E+00,7.56E+04,1.50E+00,4.88E+00
2018,Norway,7.59E+00,1.46E+00,4.03E+11,1.12E+00,7.60E+04,4.54E-01,4.88E+00
2019,Norway,7.55E+00,1.49E+00,4.06E+11,7.46E-01,7.60E+04,6.80E-02,4.88E+00
2020,Norway,7.49E+00,1.42E+00,4.04E+11,-7.17E-01,7.50E+04,-1.30E+00,4.88E+00
2021,Norway,7.39E+00,1.54E+00,4.19E+11,3.92E+00,7.75E+04,3.37E+00,4.89E+00
2015,Netherlands,7.38E+00,1.33E+00,7.66E+11,1.96E+00,4.52E+04,1.51E+00,4.66E+00
2016,Netherlands,7.34E+00,1.46E+00,7.82E+11,2.19E+00,4.59E+04,1.65E+00,4.66E+00
2017,Netherlands,7.38E+00,1.50E+00,8.05E+11,2.91E+00,4.70E+04,2.30E+00,4.67E+00
2018,Netherlands,7.44E+00,1.36E+00,8.24E+11,2.36E+00,4.78E+04,1.76E+00,4.68E+00
2019,Netherlands,7.49E+00,1.40E+00,8.40E+11,1.96E+00,4.84E+04,1.29E+00,4.69E+00
2020,Netherlands,7.45E+00,1.34E+00,8.08E+11,-3.80E+00,4.63E+04,-4.33E+00,4.67E+00
2021,Netherlands,7.46E+00,1.50E+00,8.49E+11,5.04E+00,4.84E+04,4.49E+00,4.69E+00
2015,Iceland,7.56E+00,1.30E+00,1.75E+10,4.44E+00,5.30E+04,3.35E+00,4.72E+00
2016,Iceland,7.50E+00,1.43E+00,1.86E+10,6.30E+00,5.55E+04,4.84E+00,4.74E+00
2017,Iceland,7.50E+00,1.48E+00,1.94E+10,4.19E+00,5.65E+04,1.78E+00,4.75E+00
2018,Iceland,7.50E+00,1.34E+00,2.04E+10,4.89E+00,5.77E+04,2.12E+00,4.76E+00
2019,Iceland,7.49E+00,1.38E+00,2.08E+10,2.43E+00,5.78E+04,2.07E-01,4.76E+00
2020,Iceland,7.50E+00,1.33E+00,1.95E+10,-6.50E+00,5.32E+04,-8.01E+00,4.73E+00
2021,Iceland,7.55E+00,1.48E+00,2.02E+10,3.70E+00,5.43E+04,2.08E+00,4.73E+00
2015,Switzerland,7.59E+00,1.40E+00,7.02E+11,1.66E+00,8.48E+04,5.07E-01,4.93E+00
2016,Switzerland,7.51E+00,1.53E+00,7.17E+11,2.05E+00,8.56E+04,9.37E-01,4.93E+00
2017,Switzerland,7.49E+00,1.56E+00,7.28E+11,1.58E+00,8.61E+04,6.41E-01,4.94E+00
2018,Switzerland,7.49E+00,1.42E+00,7.49E+11,2.92E+00,8.80E+04,2.16E+00,4.94E+00
2019,Switzerland,7.48E+00,1.45E+00,7.58E+11,1.21E+00,8.84E+04,4.92E-01,4.95E+00
2020,Switzerland,7.56E+00,1.39E+00,7.40E+11,-2.39E+00,8.57E+04,-3.09E+00,4.93E+00
2021,Switzerland,7.57E+00,1.57E+00,7.67E+11,3.69E+00,8.82E+04,2.96E+00,4.95E+00
2015,Denmark,7.53E+00,1.33E+00,3.03E+11,2.34E+00,5.33E+04,1.62E+00,4.73E+00
2016,Denmark,7.53E+00,1.44E+00,3.12E+11,3.25E+00,5.46E+04,2.44E+00,4.74E+00
2017,Denmark,7.52E+00,1.48E+00,3.21E+11,2.82E+00,5.57E+04,2.16E+00,4.75E+00
2018,Denmark,7.56E+00,1.35E+00,3.28E+11,1.99E+00,5.66E+04,1.49E+00,4.75E+00
2019,Denmark,7.60E+00,1.38E+00,3.35E+11,2.11E+00,5.76E+04,1.75E+00,4.76E+00
2020,Denmark,7.65E+00,1.33E+00,3.28E+11,-2.06E+00,5.62E+04,-2.35E+00,4.75E+00
2021,Denmark,7.62E+00,1.50E+00,3.43E+11,4.69E+00,5.86E+04,4.24E+00,4.77E+00
2015,Finland,7.41E+00,1.29E+00,2.35E+11,5.44E-01,4.28E+04,2.13E-01,4.63E+00
2016,Finland,7.41E+00,1.41E+00,2.41E+11,2.81E+00,4.39E+04,2.52E+00,4.64E+00
2017,Finland,7.47E+00,1.44E+00,2.49E+11,3.19E+00,4.52E+04,2.95E+00,4.65E+00
2018,Finland,7.63E+00,1.31E+00,2.52E+11,1.14E+00,4.56E+04,1.01E+00,4.66E+00
2019,Finland,7.77E+00,1.34E+00,2.55E+11,1.22E+00,4.61E+04,1.11E+00,4.66E+00
2020,Finland,7.81E+00,1.29E+00,2.49E+11,-2.30E+00,4.50E+04,-2.44E+00,4.65E+00
2021,Finland,7.84E+00,1.45E+00,2.58E+11,3.47E+00,4.65E+04,3.25E+00,4.67E+00
